# required packages for NextFerretOS.
libblkid1/stable,now 2.41-5 amd64 [installed]
libblockdev-crypto3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev-fs3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev-loop3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev-mdraid3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev-nvme3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev-part3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev-swap3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev-utils3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libblockdev3/stable,now 3.3.0-2.1 amd64 [installed,automatic]
libbluetooth3/stable,now 5.82-1.1 amd64 [installed,automatic]
libbluray2/stable,now 1:1.3.4-1+b2 amd64 [installed,automatic]
libboost-chrono1.83.0t64/stable,now 1.83.0-4.2 amd64 [installed,automatic]
libboost-filesystem1.83.0/stable,now 1.83.0-4.2 amd64 [installed,automatic]
libboost-program-options1.83.0/stable,now 1.83.0-4.2 amd64 [installed,automatic]
libboost-thread1.83.0/stable,now 1.83.0-4.2 amd64 [installed,automatic]
libbpf1/stable,now 1:1.5.0-3 amd64 [installed]
libbrotli1/stable,now 1.1.0-2+b7 amd64 [installed,automatic]
libbs2b0/stable,now 3.1.0+dfsg-8+b1 amd64 [installed,automatic]
libbsd0/stable,now 0.12.2-2 amd64 [installed]
libburn4t64/stable,now 1.5.6-1.1+b1 amd64 [installed,automatic]
libbytesize-common/stable,now 2.11-2 all [installed,automatic]
libbytesize1/stable,now 2.11-2 amd64 [installed,automatic]
libbz2-1.0/stable,now 1.0.8-6 amd64 [installed]
libc-bin/stable,now 2.41-12+deb13u1 amd64 [installed]
libc-dev-bin/stable,now 2.41-12+deb13u1 amd64 [installed,automatic]
libc-l10n/stable,now 2.41-12+deb13u1 all [installed,automatic]
libc6-dev/stable,now 2.41-12+deb13u1 amd64 [installed,automatic]
libc6-i386/stable,now 2.41-12+deb13u1 amd64 [installed,automatic]
